index,FName,LName,ERA,IP,BB,Hard Hits,FIP,WHIP,WHHIP
62,Manny,Barreda,13.50,2.66,2,5,13.67,2.25,2.632
63,Jaime,Barria,4.61,56.66,19,81,4.88,1.57,1.765
64,Anthony,Bass,3.82,61.33,24,70,4.93,1.29,1.533
65,Chris,Bassitt,3.15,157.33,39,140,3.34,1.06,1.138
66,Trevor,Bauer,2.59,107.66,37,108,4.03,1.00,1.347
67,Mike,Baumann,9.90,10,6,23,6.87,1.90,2.900
68,Shane,Baz,2.03,13.33,3,9,4.07,0.68,0.900
69,Eduard,Bazardo,0.00,3,2,2,3.17,1.00,1.333
70,Jeremy,Beasley,7.71,9.33,9,11,8.10,1.71,2.144
71,David,Bednar,2.23,60.2,19,44,2.69,0.97,1.047
72,Cam,Bedrosian,5.04,25,17,32,6.49,1.76,1.960
73,Tyler,Beede,27.00,1,0,2,2.17,2.00,2.000
74,Andrew,Bellatti,13.50,3.33,2,4,2.57,2.40,1.802
75,Anthony,Bemboom,18.00,1,0,6,16.17,3.00,6.000
76,Anthony,Bender,2.79,61.33,20,51,3.19,1.06,1.158
77,Wes,Benjamin,8.74,22.66,17,27,7.18,2.03,1.942
78,Travis,Bergen,1.69,10.2,8,9,6.08,1.22,1.667
79,Jose,Berrios,3.52,192,45,198,3.47,1.06,1.266
80,Dellin,Betances,9.00,1,1,0,7.17,1.00,1.000
81,Alec,Bettinger,13.50,10,3,14,7.27,2.10,1.700
82,Joe,Biagini,0.00,3,1,1,3.84,1.00,0.667
83,Phil,Bickford,2.81,51.33,19,50,3.93,1.07,1.344
84,Jesse,Biddle,8.44,10.66,8,9,5.14,1.69,1.595
85,Shane,Bieber,3.17,96.66,33,101,3.03,1.21,1.386
86,Brandon,Bielak,4.50,50,21,51,4.07,1.38,1.440
87,Paul,Blackburn,5.87,38.33,10,70,5.47,1.62,2.087
88,Alex,Blandino,9.82,3.66,4,4,9.44,2.18,2.186
89,Richard,Bleier,2.95,58,6,66,3.01,0.98,1.241
90,Scott,Blewett,1.80,5,5,7,4.57,1.60,2.400
91,Ronald,Bolanos,1.42,6.33,2,2,0.96,0.95,0.632
92,Ryan,Borucki,4.94,23.2,11,24,5.66,1.23,1.509
93,Akeem,Bostick,0.00,1,1,1,6.17,1.00,2.000
94,Ben,Bowden,6.56,35.66,21,41,4.85,1.82,1.739
95,Brad,Boxberger,3.34,64.66,25,53,3.65,1.07,1.206
96,Matthew,Boyd,3.89,78.66,23,86,4.10,1.27,1.386
97,Brad,Brach,6.30,30,18,31,5.04,1.60,1.633
98,Archie,Bradley,3.71,51,22,62,4.35,1.43,1.647
99,Ryan,Brasier,1.50,12,4,13,4.84,1.33,1.417
100,Steven,Brault,5.86,27.66,12,42,4.62,1.63,1.952
101,John,Brebbia,5.89,18.33,4,21,4.59,1.58,1.364
102,Brandon,Brennan,0.00,3,2,3,4.50,1.67,1.667
103,Jake,Brentz,3.66,64,37,61,4.23,1.28,1.531
104,Colten,Brewer,36.00,1,3,3,10.17,7.00,6.000
105,Austin,Brice,6.59,13.66,7,21,5.73,1.54,2.050
106,Zack,Britton,5.89,18.33,14,15,5.46,1.69,1.582
107,Connor,Brogdon,3.43,57.66,18,51,3.78,1.13,1.197
108,Rex,Brothers,5.26,53,35,53,4.87,1.43,1.660
109,JT,Brubaker,5.36,124.33,38,140,5.16,1.29,1.432
110,Justin,Bruihl,2.89,18.66,7,16,3.97,1.07,1.233
111,Kris,Bubic,4.43,130,59,149,5.14,1.38,1.600
112,Ryan,Buchter,6.61,16.33,13,22,7.95,1.78,2.143
113,Walker,Buehler,2.47,207.66,52,201,3.16,0.97,1.218
114,J.B.,Bukauskas,7.79,17.33,7,23,5.77,1.79,1.731
115,Madison,Bumgarner,4.67,146.33,39,168,4.63,1.18,1.415
116,Aaron,Bummer,3.51,56.33,29,56,2.96,1.26,1.509
117,Dylan,Bundy,6.06,90.66,34,105,5.51,1.36,1.533
118,Zack,Burdi,5.40,10,5,16,7.77,1.80,2.100
119,Corbin,Burnes,2.43,167,34,117,1.63,0.94,0.904
120,Andy,Burns,18.00,1,0,3,14.17,3.00,3.000
121,Ryan,Burr,2.45,36.66,21,46,4.23,1.34,1.828
122,Beau,Burrows,13.91,11,10,17,10.35,2.36,2.455
123,Matt,Bush,6.75,4,1,4,11.17,1.25,1.250
124,Genesis,Cabrera,3.73,70,36,62,3.28,1.26,1.400
125,Asdrubal,Cabrera,0.00,1.33,0,2,3.17,0.75,1.504
126,Edward,Cabrera,5.81,26.33,19,33,6.63,1.63,1.975
127,Trevor,Cahill,6.57,37,14,48,4.06,1.51,1.676
128,Daniel,Camarena,9.64,9.33,3,20,5.42,2.04,2.465
129,Paul,Campbell,6.41,26.66,10,29,5.01,1.58,1.463
130,Griffin,Canning,5.60,62.66,28,73,5.48,1.48,1.612
131,Drew,Carlton,4.91,3.66,4,6,9.44,2.73,2.732
132,Matt,Carpenter,0.00,1.33,0,0,5.42,1.50,0.000
133,Carlos,Carrasco,6.04,53.66,18,65,5.22,1.43,1.547
134,Daniel,Castano,4.87,20.33,8,26,5.14,1.48,1.672
135,Ryan,Castellani,5.40,3.33,4,5,10.37,2.70,2.703
136,Humberto,Castellanos,4.93,45.66,15,49,5.01,1.38,1.402
137,Diego,Castillo,2.78,58.33,17,52,3.74,0.98,1.183
138,Luis,Castillo,3.98,187.66,75,194,3.75,1.36,1.433
139,Harold,Castro,0.00,2.66,3,2,6.55,1.13,1.880
140,Miguel,Castro,3.45,70.33,43,60,4.36,1.29,1.465
141,Kervin,Castro,0.00,13.33,4,11,2.12,1.28,1.125
142,Anthony,Castro,4.74,24.2,8,31,4.02,1.26,1.612
143,Dylan,Cease,3.91,165.66,68,156,3.41,1.25,1.352
144,Luis,Cessa,2.51,64.66,19,66,3.39,1.14,1.315
145,Jhoulys,Chacin,4.34,64.33,28,68,4.63,1.26,1.492
146,Andrew,Chafin,1.83,68.66,19,58,2.98,0.93,1.121
147,Aroldis,Chapman,3.36,56.33,38,42,3.99,1.31,1.420
148,JT,Chargois,2.52,53.66,20,50,3.86,1.08,1.305
149,Tyler,Chatwood,5.63,32,21,36,3.95,1.47,1.781
150,Jesse,Chavez,2.14,33.66,11,36,2.01,1.01,1.396
151,Chi,Chi Gonzalez,6.46,101.66,28,161,5.37,1.52,1.859
152,Adam,Cimber,2.26,71.66,16,81,3.07,1.07,1.354
153,Steve,Cishek,3.42,68.33,41,63,3.74,1.49,1.522
154,Jose,Cisnero,3.65,61.66,31,54,4.13,1.33,1.379
155,Aaron,Civale,3.84,124.33,31,143,4.83,1.12,1.400
156,Taylor,Clarke,4.98,43.33,14,61,3.54,1.52,1.731
157,Emmanuel,Clase,1.29,69.66,16,55,2.11,0.96,1.019
158,Alex,Claudio,5.51,32.66,15,41,5.10,1.59,1.715
159,Sam,Clay,5.60,45,22,62,4.61,1.71,1.867
160,Garrett,Cleavinger,3.00,18,12,23,5.89,1.78,1.944
161,Tyler,Clippard,3.20,25.33,11,29,4.71,1.30,1.579
162,Alex,Cobb,3.76,93.33,33,97,2.92,1.26,1.393
163,Kyle,Cody,7.94,11.33,2,17,5.46,1.59,1.677
164,Gerrit,Cole,3.23,181.33,41,170,2.92,1.06,1.164
165,A.J.,Cole,1.13,8,1,9,3.42,0.88,1.250
166,Dylan,Coleman,1.42,6.33,1,5,1.43,0.95,0.948
167,Alex,Colome,4.15,65,23,85,4.23,1.40,1.662
168,Adam,Conley,2.29,19.66,6,16,4.09,1.02,1.119
