index,FName,LName,ERA,IP,BB,Hard Hits,FIP,SIERA,WHIP,WHHIP
502,Seth,Martinez,15.00,3,3,5,4.17,6.08,2.670,2.667
503,Wyatt,Mathisen,0.00,1,0,2,3.17,7.13,1.000,2.000
504,Phil,Maton,4.73,66.66,32,57,3.50,3.67,1.460,1.335
505,Nick,Maton,0.00,0.33,0,0,-2.83,-0.12,0.000,0.000
506,Isaac,Mattson,6.23,4.33,5,7,5.25,7.60,2.310,2.771
507,Steven,Matz,3.82,150.66,43,172,3.79,4.12,1.330,1.427
508,Tyler,Matzek,2.57,63,37,56,3.20,4.04,1.220,1.476
509,Trevor,May,3.59,62.66,24,54,3.74,3.22,1.260,1.245
510,Dustin,May,2.74,23,6,20,3.30,2.44,0.960,1.130
511,Mike,Mayers,3.84,75,26,82,3.84,3.39,1.290,1.440
512,Jack,Mayfield,0.00,0.33,0,0,3.17,-0.97,0.000,0.000
513,Tim,Mayza,3.40,53,12,45,3.09,2.81,0.980,1.075
514,Chris,Mazza,4.61,27.33,7,23,4.05,4.34,1.210,1.098
515,Darren,McCaughan,8.00,9,4,12,8.73,6.49,1.330,1.778
516,Shane,McClanahan,3.43,123.33,37,153,3.31,3.62,1.270,1.541
